source_pid,source_region_genre_id,source_position,source_pid_position,source_track_id,source_Track Name,source_Artist Name(s),source_audio_path,source_audio_relative_path,target_pid,target_region_genre_id,target_position,target_pid_position,target_track_id,target_Track Name,target_Artist Name(s),target_audio_path,target_audio_relative_path,label
3,hindi_chill_lyrics,49,3_49,6VBhH7CyP56BXjp8VsDFPZ,"Kesariya (From ""Brahmastra"")",Pritam;Arijit Singh;Amitabh Bhattacharya,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\7. Kesariya (From _Brahmastra_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\7. Kesariya (From _Brahmastra_).mp3,25,western_focus,62,25_62,02oyJrGlvHQ4sf7obYMJJk,lonely nights,butterfli,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Focus Flow\24. lonely nights.mp3,data\raw_playlist_songs_downloaded\western\focus\Focus Flow\24. lonely nights.mp3,0
3,hindi_chill_lyrics,49,3_49,6VBhH7CyP56BXjp8VsDFPZ,"Kesariya (From ""Brahmastra"")",Pritam;Arijit Singh;Amitabh Bhattacharya,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\7. Kesariya (From _Brahmastra_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\7. Kesariya (From _Brahmastra_).mp3,28,western_sleep,24,28_24,0qSYDGDrDKUjSALZcwOYya,Water,Soothing Oasis,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Sleep Music for Deep Sleeping\24. Water.mp3,data\raw_playlist_songs_downloaded\western\sleep\Sleep Music for Deep Sleeping\24. Water.mp3,0
3,hindi_chill_lyrics,97,3_97,4nc6XiUze2Yh7wFueGOPv7,"Chaleya (From ""Jawan"")",Anirudh Ravichander;Arijit Singh;Shilpa Rao;Kumaar,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Soft & Slow Hindi Songs\1. Chaleya (From _Jawan_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Soft & Slow Hindi Songs\1. Chaleya (From _Jawan_).mp3,8,hindi_study,4,8_4,6udC4b4jOSnHb9ItnXgKLR,Saibo,Sachin-Jigar;Shreya Ghoshal;Tochi Raina,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\4. Saibo.mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\4. Saibo.mp3,0
3,hindi_chill_lyrics,97,3_97,4nc6XiUze2Yh7wFueGOPv7,"Chaleya (From ""Jawan"")",Anirudh Ravichander;Arijit Singh;Shilpa Rao;Kumaar,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Soft & Slow Hindi Songs\1. Chaleya (From _Jawan_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Soft & Slow Hindi Songs\1. Chaleya (From _Jawan_).mp3,22,western_focus,151,22_151,0jNccY2YZplmway4MO1Q6m,Moonlight,Maurizio Lucchetti,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\32. Moonlight.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\32. Moonlight.mp3,0
3,hindi_chill_lyrics,111,3_111,3hoXhwP0ub9LdSJV4olDIc,Tere Naina,Shankar-Ehsaan-Loy;Shafqat Amanat Ali,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\13. Tere Naina.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\13. Tere Naina.mp3,27,western_sleep,37,27_37,0463k0z2J1zmUNcSgriaYT,Teri Hogaiyaan Lofi Mix,Sanjay S Yadav;Slickmusix,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Lofi Sleeping Songs 😴 Romantic Slowed + Reverbed Hindi Lofi Songs\37. Teri Hogaiyaan Lofi Mix.mp3,data\raw_playlist_songs_downloaded\western\sleep\Lofi Sleeping Songs 😴 Romantic Slowed + Reverbed Hindi Lofi Songs\37. Teri Hogaiyaan Lofi Mix.mp3,0
3,hindi_chill_lyrics,111,3_111,3hoXhwP0ub9LdSJV4olDIc,Tere Naina,Shankar-Ehsaan-Loy;Shafqat Amanat Ali,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\13. Tere Naina.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\13. Tere Naina.mp3,23,western_focus,19,23_19,1JFqiEuQBfq2HLC38wb8zQ,Cascades,Ciel,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\16. Cascades.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\16. Cascades.mp3,0
7,hindi_study,1,7_1,7vZz8oJ5qAqB9MghufRK5k,Zinda,Shankar-Ehsaan-Loy;Siddharth Mahadevan,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\2. Zinda.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\2. Zinda.mp3,19,western_dj,40,19_40,6GOOcBV0wLoHrH5D9AWA32,Say My Name - Remix,Morgan Seatree;Florence + The Machine,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\dj\DJ Music 2026 _ Best DJ Mix, Club Remixes, Top DJ Songs, DJ Hits, DJ Anthems, DJ Playlist, DJ Beats\35. Say My Name - Remix.mp3","data\raw_playlist_songs_downloaded\western\dj\DJ Music 2026 _ Best DJ Mix, Club Remixes, Top DJ Songs, DJ Hits, DJ Anthems, DJ Playlist, DJ Beats\35. Say My Name - Remix.mp3",0
7,hindi_study,1,7_1,7vZz8oJ5qAqB9MghufRK5k,Zinda,Shankar-Ehsaan-Loy;Siddharth Mahadevan,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\2. Zinda.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\2. Zinda.mp3,25,western_focus,43,25_43,1VFcm6dHaWzvBo69EyjCnK,Kyla,BeatsBySindri,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Focus Flow\10. Kyla.mp3,data\raw_playlist_songs_downloaded\western\focus\Focus Flow\10. Kyla.mp3,0
7,hindi_study,2,7_2,3kSBSSsXtebECjCggW87yq,Sultan,Vishal-Shekhar;Sukhwinder Singh;Shadab Faridi;Irshad Kamil,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\3. Sultan.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\3. Sultan.mp3,26,western_focus,34,26_34,7fxJDIIC14LZjmbtRr4lsM,valse de la fille,Adrien Anviér,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\34. valse de la fille.mp3,data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\34. valse de la fille.mp3,0
7,hindi_study,2,7_2,3kSBSSsXtebECjCggW87yq,Sultan,Vishal-Shekhar;Sukhwinder Singh;Shadab Faridi;Irshad Kamil,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\3. Sultan.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\3. Sultan.mp3,21,western_dj,84,21_84,7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),Calvin Harris;Ellie Goulding,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\dj\ENGLISH CLUB SONGS\84. Outside (feat. Ellie Goulding).mp3,data\raw_playlist_songs_downloaded\western\dj\ENGLISH CLUB SONGS\84. Outside (feat. Ellie Goulding).mp3,0
7,hindi_study,3,7_3,7EpZ8kdKyQM4GMJy2tj0We,Dangal,Daler Mehndi,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\4. Dangal.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\4. Dangal.mp3,29,western_sleep,1,29_1,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu;beabadoobee,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Songs that WILL put you to SLEEP... (100% GUARANTEE!!) 😴\1. death bed (coffee for your head).mp3,data\raw_playlist_songs_downloaded\western\sleep\Songs that WILL put you to SLEEP... (100% GUARANTEE!!) 😴\1. death bed (coffee for your head).mp3,0
7,hindi_study,3,7_3,7EpZ8kdKyQM4GMJy2tj0We,Dangal,Daler Mehndi,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\4. Dangal.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\4. Dangal.mp3,27,western_sleep,100,27_100,7zn6dGQStFkVCOJUdTt2HL,Tum Mile - Lofi Flip,Javed Ali;Jay Kava,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Lofi Sleeping Songs 😴 Romantic Slowed + Reverbed Hindi Lofi Songs\100. Tum Mile - Lofi Flip.mp3,data\raw_playlist_songs_downloaded\western\sleep\Lofi Sleeping Songs 😴 Romantic Slowed + Reverbed Hindi Lofi Songs\100. Tum Mile - Lofi Flip.mp3,0
7,hindi_study,4,7_4,3FHl1QYu76zguwjqhqcglX,"Kar Har Maidaan Fateh (From ""Sanju"")",Sukhwinder Singh;Shreya Ghoshal;Vikram Montrose,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\5. Kar Har Maidaan Fateh (From _Sanju_).mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\5. Kar Har Maidaan Fateh (From _Sanju_).mp3,26,western_focus,74,26_74,0kDuotZ7G61nk9rQNcHBbK,Ignis,Martin Rapide,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\74. Ignis.mp3,data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\74. Ignis.mp3,0
7,hindi_study,4,7_4,3FHl1QYu76zguwjqhqcglX,"Kar Har Maidaan Fateh (From ""Sanju"")",Sukhwinder Singh;Shreya Ghoshal;Vikram Montrose,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\5. Kar Har Maidaan Fateh (From _Sanju_).mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\5. Kar Har Maidaan Fateh (From _Sanju_).mp3,19,western_dj,52,19_52,5CHguyJ9h81QrwbCCDvNqT,Summer Jam - Jerome Remix,The Underdog Project;Jerome,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\dj\DJ Music 2026 _ Best DJ Mix, Club Remixes, Top DJ Songs, DJ Hits, DJ Anthems, DJ Playlist, DJ Beats\46. Summer Jam - Jerome Remix.mp3","data\raw_playlist_songs_downloaded\western\dj\DJ Music 2026 _ Best DJ Mix, Club Remixes, Top DJ Songs, DJ Hits, DJ Anthems, DJ Playlist, DJ Beats\46. Summer Jam - Jerome Remix.mp3",0
7,hindi_study,5,7_5,3uZiNvBNQldjl4OJiKsuxe,Brothers Anthem,Ajay-Atul;Vishal Dadlani,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\6. Brothers Anthem.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\6. Brothers Anthem.mp3,16,western_chill_lyrics,63,16_63,5JeMisPmYHmPHXWhPPY1Ww,Feelin,NOAMZ,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\chill_lyrics\ELECTRO CHILL POP 🌴🥥Tropical House Relax 2025\84. Feelin.mp3,data\raw_playlist_songs_downloaded\western\chill_lyrics\ELECTRO CHILL POP 🌴🥥Tropical House Relax 2025\84. Feelin.mp3,0
7,hindi_study,5,7_5,3uZiNvBNQldjl4OJiKsuxe,Brothers Anthem,Ajay-Atul;Vishal Dadlani,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\6. Brothers Anthem.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\6. Brothers Anthem.mp3,17,western_chill_lyrics,31,17_31,6ZmtxXUXRVjxOhugKkmerC,Dil Mere,The Local Train,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie 'n' Chill\31. Dil Mere.mp3,data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie 'n' Chill\31. Dil Mere.mp3,0
7,hindi_study,6,7_6,3MxLT7m4BjAA0lQl9lVBcM,Jai Ho,Sukhwinder Singh;Tanvi Shah;Mahalakshmi Iyer;Vijay Prakash,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\7. Jai Ho.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\7. Jai Ho.mp3,21,western_dj,79,21_79,3nMb7ToWIxYvmaIG20z6ux,Tonight (I'm Fuckin' You),Enrique Iglesias;Ludacris;DJ Frank E,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\dj\ENGLISH CLUB SONGS\79. Tonight (I'm Fuckin' You).mp3,data\raw_playlist_songs_downloaded\western\dj\ENGLISH CLUB SONGS\79. Tonight (I'm Fuckin' You).mp3,0
7,hindi_study,6,7_6,3MxLT7m4BjAA0lQl9lVBcM,Jai Ho,Sukhwinder Singh;Tanvi Shah;Mahalakshmi Iyer;Vijay Prakash,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\7. Jai Ho.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\7. Jai Ho.mp3,24,western_focus,172,24_172,2vwJOItI8CKkLbWuVvapO8,417 Hz Clear Negative Energy,Zenara Stillness,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus Study Music\86. 417 Hz Clear Negative Energy.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus Study Music\86. 417 Hz Clear Negative Energy.mp3,0
7,hindi_study,7,7_7,2xYbk2WDq38a0wuRyjT1mE,Jee Karda (Rock Version),Divya Kumar,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\8. Jee Karda (Rock Version).mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\8. Jee Karda (Rock Version).mp3,8,hindi_study,51,8_51,0Pe6XBhleBHeyuE23ZHETQ,Pal - Lofi Flip,Kritiman Mishra;Arijit Singh;Shreya Ghoshal;Javed-Mohsin,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\50. Pal - Lofi Flip.mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\50. Pal - Lofi Flip.mp3,0
7,hindi_study,7,7_7,2xYbk2WDq38a0wuRyjT1mE,Jee Karda (Rock Version),Divya Kumar,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\8. Jee Karda (Rock Version).mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\8. Jee Karda (Rock Version).mp3,22,western_focus,77,22_77,2Vg4ixMU7OJAfFR4tLMnvN,a new romance,Alexandra Streliski,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\82. a new romance.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\82. a new romance.mp3",0
7,hindi_study,8,7_8,7k3jpyYPnVnbO0p7iejWxL,Saadda Haq,Mohit Chauhan,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\9. Saadda Haq.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\9. Saadda Haq.mp3,23,western_focus,58,23_58,7IP014afPrQmohDNI8fLTE,Zenline,Atlas Dusk,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\69. Zenline.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\69. Zenline.mp3,0
