source_clean_index,source_Track URI,source_Track Name,source_Artist Name(s),source_track_id,source_pid,source_region_genre_id,source_position,source_pid_position,source_audio_path,source_audio_relative_path,source_downloaded_title,source_downloaded_playlist_name,source_downloaded_position,source_position_matches,source_filename,source_has_audio,target_clean_index,target_Track URI,target_Track Name,target_Artist Name(s),target_track_id,target_pid,target_region_genre_id,target_position,target_pid_position,target_audio_path,target_audio_relative_path,target_downloaded_title,target_downloaded_playlist_name,target_downloaded_position,target_position_matches,target_filename,target_has_audio,label
,,"Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"")",Darshan Raval;Rochak Kohli,3jyqXdAjwqO3gFtjnYrbq9,9,hindi_study,65,9_65,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\81. Ek Ladki Ko Dekha Toh Aisa Laga (From _Ek Ladki Ko Dekha Toh Aisa Laga_).mp3,data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\81. Ek Ladki Ko Dekha Toh Aisa Laga (From _Ek Ladki Ko Dekha Toh Aisa Laga_).mp3,,,,,,,,,Through the Whispering Trees,Taylor S Brooks,42NQphnmJaNTvzfD57IFTI,26.0,western_focus,8.0,26_8,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\8. Through the Whispering Trees.mp3,data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\8. Through the Whispering Trees.mp3,,,,,,,0
3225.0,spotify:track:2cxpTQA3M5nCyYaOY9VBe4,Silence of Space,Soothing Oasis,2cxpTQA3M5nCyYaOY9VBe4,28,western_sleep,95,28_95,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Sleep Music for Deep Sleeping\95. Silence of Space.mp3,data\raw_playlist_songs_downloaded\western\sleep\Sleep Music for Deep Sleeping\95. Silence of Space.mp3,Silence of Space,Sleep Music for Deep Sleeping,95.0,True,95. Silence of Space.mp3,True,3226.0,spotify:track:6v8J72YZiWYJfQuk5dYciG,Hold My Hand,Soothing Oasis,6v8J72YZiWYJfQuk5dYciG,28.0,western_sleep,96.0,28_96,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Sleep Music for Deep Sleeping\96. Hold My Hand.mp3,data\raw_playlist_songs_downloaded\western\sleep\Sleep Music for Deep Sleeping\96. Hold My Hand.mp3,Hold My Hand,Sleep Music for Deep Sleeping,96.0,True,96. Hold My Hand.mp3,True,1
,,Ajib Dastan Hai Yeh - LoFi,Lata Mangeshkar,0QuJBzeSuk3vqwNmnBvhSM,27,western_sleep,35,27_35,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Lofi Sleeping Songs 😴 Romantic Slowed + Reverbed Hindi Lofi Songs\35. Ajib Dastan Hai Yeh - LoFi.mp3,data\raw_playlist_songs_downloaded\western\sleep\Lofi Sleeping Songs 😴 Romantic Slowed + Reverbed Hindi Lofi Songs\35. Ajib Dastan Hai Yeh - LoFi.mp3,,,,,,,,,Images of Love (with Dominic Fike),Hether;Dominic Fike,1Vj11Vm95STtBEL7hSB5Sh,18.0,western_chill_lyrics,5.0,18_5,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie Chillout\5. Images of Love (with Dominic Fike).mp3,data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie Chillout\5. Images of Love (with Dominic Fike).mp3,,,,,,,0
,,Kisses (feat. bbyclose),BL3SS;CamrinWatsin;bbyclose,1bJRd2ey6ER7neSxZwYdAG,19,western_dj,6,19_6,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\dj\DJ Music 2026 _ Best DJ Mix, Club Remixes, Top DJ Songs, DJ Hits, DJ Anthems, DJ Playlist, DJ Beats\67. Kisses (feat. bbyclose).mp3","data\raw_playlist_songs_downloaded\western\dj\DJ Music 2026 _ Best DJ Mix, Club Remixes, Top DJ Songs, DJ Hits, DJ Anthems, DJ Playlist, DJ Beats\67. Kisses (feat. bbyclose).mp3",,,,,,,,,Love Tonight (Edit),Shouse,6OufwUcCqo81guU2jAlDVP,21.0,western_dj,41.0,21_41,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\dj\ENGLISH CLUB SONGS\41. Love Tonight (Edit).mp3,data\raw_playlist_songs_downloaded\western\dj\ENGLISH CLUB SONGS\41. Love Tonight (Edit).mp3,,,,,,,0
676.0,spotify:track:7nsjBUVRQTUEvCReXAtVPi,Kesariya - Lofi Flip,VIBIE;Arijit Singh;Pritam;Bollywood Lofi,7nsjBUVRQTUEvCReXAtVPi,8,hindi_study,38,8_38,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\37. Kesariya - Lofi Flip.mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\37. Kesariya - Lofi Flip.mp3,Kesariya - Lofi Flip,Study Music Hindi (Lofi Songs),37.0,False,37. Kesariya - Lofi Flip.mp3,True,677.0,spotify:track:79UQjoU5Yfe4AsVlbVOvPz,Mehrama - Lofi Flip,Darshan Raval;Antara Mitra;Silent Ocean,79UQjoU5Yfe4AsVlbVOvPz,8.0,hindi_study,39.0,8_39,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\38. Mehrama - Lofi Flip.mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\38. Mehrama - Lofi Flip.mp3,Mehrama - Lofi Flip,Study Music Hindi (Lofi Songs),38.0,False,38. Mehrama - Lofi Flip.mp3,True,1
,,solitude,reinë,6I5VqsFIZMoDtW4Fi3V7tH,26,western_focus,53,26_53,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\53. solitude.mp3,data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\53. solitude.mp3,,,,,,,,,Masterpiece - solo,Big Thief,4ROHGNbd9HjDclib6xvS5N,15.0,western_chill_lyrics,4.0,15_4,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\chill_lyrics\acoustic chill\4. Masterpiece - (solo).mp3,data\raw_playlist_songs_downloaded\western\chill_lyrics\acoustic chill\4. Masterpiece - (solo).mp3,,,,,,,0
,,Mama - Club Mix,Jonas Blue;William Singe,2n76J8D8eUi8VkMElCeEC6,20,western_dj,95,20_95,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\dj\DJ Songs\95. Mama - Club Mix.mp3,data\raw_playlist_songs_downloaded\western\dj\DJ Songs\95. Mama - Club Mix.mp3,,,,,,,,,Manwa Laage,Vishal-Shekhar;Shreya Ghoshal;Arijit Singh;Irshad Kamil,3H43T5swYywvcdCBFiDgW6,9.0,hindi_study,50.0,9_50,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\65. Manwa Laage.mp3,data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\65. Manwa Laage.mp3,,,,,,,0
,,Finding Gratitude,Cameron Segal,3pCz92uwkT8LLNcLmoif64,22,western_focus,76,22_76,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\81. Finding Gratitude.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\81. Finding Gratitude.mp3",,,,,,,,,Horizon Drift,Jo Anand,2tAXo2Ej9MHBqWpShZSsWw,23.0,western_focus,35.0,23_35,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus\38. Horizon Drift.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus\38. Horizon Drift.mp3,,,,,,,0
,,last contact,Aunøra;Ghøst;ist,3PFR8zMj3NSGZ0SbOKJi7R,29,western_sleep,88,29_88,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Songs that WILL put you to SLEEP... (100% GUARANTEE!!) 😴\88. last contact.mp3,data\raw_playlist_songs_downloaded\western\sleep\Songs that WILL put you to SLEEP... (100% GUARANTEE!!) 😴\88. last contact.mp3,,,,,,,,,Music Sounds Better With You,Toby DEE;GRATIFY;Coopex;Deso Latee,5MoHCGMTRxiJ5xxYhrzmlX,19.0,western_dj,76.0,19_76,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\dj\DJ Music 2026 _ Best DJ Mix, Club Remixes, Top DJ Songs, DJ Hits, DJ Anthems, DJ Playlist, DJ Beats\70. Music Sounds Better With You.mp3","data\raw_playlist_songs_downloaded\western\dj\DJ Music 2026 _ Best DJ Mix, Club Remixes, Top DJ Songs, DJ Hits, DJ Anthems, DJ Playlist, DJ Beats\70. Music Sounds Better With You.mp3",,,,,,,0
687.0,spotify:track:7JOFplrLQfYkuEcWCASZDo,Iktara - Lofi Flip,VIBIE;Amit Trivedi;Kavita Seth;Amitabh Bhattacharya;Bollywood Lofi,7JOFplrLQfYkuEcWCASZDo,8,hindi_study,49,8_49,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\48. Iktara - Lofi Flip.mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\48. Iktara - Lofi Flip.mp3,Iktara - Lofi Flip,Study Music Hindi (Lofi Songs),48.0,False,48. Iktara - Lofi Flip.mp3,True,688.0,spotify:track:3TEpHcylaJDZyYOiBVzlwN,Raanjhanaa - Lofi Flip,Silent Ocean;Jaswinder Singh;Shiraz Uppal;A.R. Rahman,3TEpHcylaJDZyYOiBVzlwN,8.0,hindi_study,50.0,8_50,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\49. Raanjhanaa - Lofi Flip.mp3,data\raw_playlist_songs_downloaded\hindi\study\Study Music Hindi (Lofi Songs)\49. Raanjhanaa - Lofi Flip.mp3,Raanjhanaa - Lofi Flip,Study Music Hindi (Lofi Songs),49.0,False,49. Raanjhanaa - Lofi Flip.mp3,True,1
764.0,spotify:track:3uL1IBFhg52VcQqOwAG01E,Mast Magan,Arijit Singh;Chinmayi;Shankar-Ehsaan-Loy;Amitabh Bhattacharya,3uL1IBFhg52VcQqOwAG01E,9,hindi_study,45,9_45,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\59. Mast Magan.mp3,data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\59. Mast Magan.mp3,Mast Magan,Studying Bollywood Songs,59.0,False,59. Mast Magan.mp3,True,765.0,spotify:track:4BiPsAV070dg3eLSVf727A,Ye Ishq Hai,Pritam;Shreya Ghoshal;Irshad Kamil,4BiPsAV070dg3eLSVf727A,9.0,hindi_study,46.0,9_46,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\61. Ye Ishq Hai.mp3,data\raw_playlist_songs_downloaded\hindi\study\Studying Bollywood Songs\61. Ye Ishq Hai.mp3,Ye Ishq Hai,Studying Bollywood Songs,61.0,False,61. Ye Ishq Hai.mp3,True,1
,,No Idea,Don Toliver,7AzlLxHn24DxjgQX73F9fU,21,western_dj,54,21_54,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\dj\ENGLISH CLUB SONGS\54. No Idea.mp3,data\raw_playlist_songs_downloaded\western\dj\ENGLISH CLUB SONGS\54. No Idea.mp3,,,,,,,,,Desire,Ian Asher;Olly Alexander (Years & Years),4sMR8fuTzbUyzB0asxifV0,19.0,western_dj,36.0,19_36,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\dj\DJ Music 2026 _ Best DJ Mix, Club Remixes, Top DJ Songs, DJ Hits, DJ Anthems, DJ Playlist, DJ Beats\31. Desire.mp3","data\raw_playlist_songs_downloaded\western\dj\DJ Music 2026 _ Best DJ Mix, Club Remixes, Top DJ Songs, DJ Hits, DJ Anthems, DJ Playlist, DJ Beats\31. Desire.mp3",,,,,,,0
2881.0,spotify:track:5WYzwJcAqTUcjji61rvkGI,Lantern in the Fog,Nivellea,5WYzwJcAqTUcjji61rvkGI,26,western_focus,45,26_45,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\45. Lantern in the Fog.mp3,data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\45. Lantern in the Fog.mp3,Lantern in the Fog,Instrumental Study,45.0,True,45. Lantern in the Fog.mp3,True,2882.0,spotify:track:1DcuFxt7thDbbiPPkWaDoA,The Conservatory Window,Vølaire,1DcuFxt7thDbbiPPkWaDoA,26.0,western_focus,46.0,26_46,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\46. The Conservatory Window.mp3,data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\46. The Conservatory Window.mp3,The Conservatory Window,Instrumental Study,46.0,True,46. The Conservatory Window.mp3,True,1
,,Fragile Lines,Hidden Piano,5gSVyUJlLESVH6Rss6Qmn6,26,western_focus,63,26_63,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\63. Fragile Lines.mp3,data\raw_playlist_songs_downloaded\western\focus\Instrumental Study\63. Fragile Lines.mp3,,,,,,,,,Aashiyan,gini,0OlYIIUtBAWF2iEiTYan5h,17.0,western_chill_lyrics,6.0,17_6,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie 'n' Chill\6. Aashiyan.mp3,data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie 'n' Chill\6. Aashiyan.mp3,,,,,,,0
1455.0,spotify:track:4XA2TXEycTQL3xhPV7L2kt,Savera,Iqlipse Nova;Anubha Bajaj,4XA2TXEycTQL3xhPV7L2kt,17,western_chill_lyrics,2,17_2,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie 'n' Chill\2. Savera.mp3,data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie 'n' Chill\2. Savera.mp3,Savera,Indie 'n' Chill,2.0,True,2. Savera.mp3,True,1456.0,spotify:track:5thVzD79BxlDTYy0LfHzvu,Zaroor,Aparshakti Khurana;Savi Kahlon,5thVzD79BxlDTYy0LfHzvu,17.0,western_chill_lyrics,3.0,17_3,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie 'n' Chill\3. Zaroor.mp3,data\raw_playlist_songs_downloaded\western\chill_lyrics\Indie 'n' Chill\3. Zaroor.mp3,Zaroor,Indie 'n' Chill,3.0,True,3. Zaroor.mp3,True,1
,,Kuch Karne Ka,DIVINE;Karan Kanchan,4HisNsjVpJvU7ozK5UaF55,7,hindi_study,59,7_59,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\67. Kuch Karne Ka.mp3,data\raw_playlist_songs_downloaded\hindi\study\Gym workout Hindi songs\67. Kuch Karne Ka.mp3,,,,,,,,,Finding Gratitude,Cameron Segal,3pCz92uwkT8LLNcLmoif64,22.0,western_focus,76.0,22_76,"C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\81. Finding Gratitude.mp3","data\raw_playlist_songs_downloaded\western\focus\Calm Study _ Instrumentals for Focus, Work, Reading\81. Finding Gratitude.mp3",,,,,,,0
,,Solfeggio Frequencies 417 Hz,Dante Flowwell,4Norl3zuhnzPkNTqJPBgeF,24,western_focus,88,24_88,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\focus\Deep Focus Study Music\89. Solfeggio Frequencies 417 Hz.mp3,data\raw_playlist_songs_downloaded\western\focus\Deep Focus Study Music\89. Solfeggio Frequencies 417 Hz.mp3,,,,,,,,,Peaceful Skies,Soothing Oasis,4T317D8kCVdPbqmsUdDA89,28.0,western_sleep,49.0,28_49,C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\western\sleep\Sleep Music for Deep Sleeping\49. Peaceful Skies.mp3,data\raw_playlist_songs_downloaded\western\sleep\Sleep Music for Deep Sleeping\49. Peaceful Skies.mp3,,,,,,,0
