audio_path,audio_relative_path,region,category,downloaded_playlist_name,downloaded_position,downloaded_title,filename
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\21. Dil Se Dil Tak (From _Bawaal_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\21. Dil Se Dil Tak (From _Bawaal_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,21,Dil Se Dil Tak (From _Bawaal_),21. Dil Se Dil Tak (From _Bawaal_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\22. Chaand Baaliyan.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\22. Chaand Baaliyan.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,22,Chaand Baaliyan,22. Chaand Baaliyan.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\23. Jaanam (From _Bad Newz_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\23. Jaanam (From _Bad Newz_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,23,Jaanam (From _Bad Newz_),23. Jaanam (From _Bad Newz_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\24. Kyon.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\24. Kyon.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,24,Kyon,24. Kyon.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\25. Husn.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\25. Husn.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,25,Husn,25. Husn.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\26. Dil Diyan Gallan.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\26. Dil Diyan Gallan.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,26,Dil Diyan Gallan,26. Dil Diyan Gallan.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\27. Heeriye (feat. Arijit Singh).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\27. Heeriye (feat. Arijit Singh).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,27,Heeriye (feat. Arijit Singh),27. Heeriye (feat. Arijit Singh).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\28. Pal.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\28. Pal.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,28,Pal,28. Pal.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\29. Iktara (From _Wake Up Sid_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\29. Iktara (From _Wake Up Sid_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,29,Iktara (From _Wake Up Sid_),29. Iktara (From _Wake Up Sid_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\30. Subhanallah.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\30. Subhanallah.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,30,Subhanallah,30. Subhanallah.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\31. Tere Hawaale (From _Laal Singh Chaddha_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\31. Tere Hawaale (From _Laal Singh Chaddha_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,31,Tere Hawaale (From _Laal Singh Chaddha_),31. Tere Hawaale (From _Laal Singh Chaddha_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\32. Maiyya Mainu.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\32. Maiyya Mainu.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,32,Maiyya Mainu,32. Maiyya Mainu.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\33. Be Intehaan.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\33. Be Intehaan.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,33,Be Intehaan,33. Be Intehaan.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\34. Mehrama.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\34. Mehrama.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,34,Mehrama,34. Mehrama.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\35. O Maahi (From _Dunki_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\35. O Maahi (From _Dunki_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,35,O Maahi (From _Dunki_),35. O Maahi (From _Dunki_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\36. Tose Naina (From _Mickey Virus).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\36. Tose Naina (From _Mickey Virus).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,36,Tose Naina (From _Mickey Virus),36. Tose Naina (From _Mickey Virus).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\37. Phir Le Aya Dil - Reprise.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\37. Phir Le Aya Dil - Reprise.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,37,Phir Le Aya Dil - Reprise,37. Phir Le Aya Dil - Reprise.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\38. Tune Jo Na Kaha.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\38. Tune Jo Na Kaha.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,38,Tune Jo Na Kaha,38. Tune Jo Na Kaha.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\39. Tera Hone Laga Hoon (Lofi Mix).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\39. Tera Hone Laga Hoon (Lofi Mix).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,39,Tera Hone Laga Hoon (Lofi Mix),39. Tera Hone Laga Hoon (Lofi Mix).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\40. Shayad.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\40. Shayad.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,40,Shayad,40. Shayad.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\41. O Saathi.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\41. O Saathi.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,41,O Saathi,41. O Saathi.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\42. Tere Bin (From _Simmba_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\42. Tere Bin (From _Simmba_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,42,Tere Bin (From _Simmba_),42. Tere Bin (From _Simmba_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\44. Kasoor.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\44. Kasoor.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,44,Kasoor,44. Kasoor.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\45. Baarishein.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\45. Baarishein.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,45,Baarishein,45. Baarishein.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\46. Te Amo (Duet).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\46. Te Amo (Duet).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,46,Te Amo (Duet),46. Te Amo (Duet).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\47. Kyun Main Jaagoon.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\47. Kyun Main Jaagoon.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,47,Kyun Main Jaagoon,47. Kyun Main Jaagoon.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\48. Dil Jhoom (From _Crakk - Jeetegaa Toh Jiyegaa_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\48. Dil Jhoom (From _Crakk - Jeetegaa Toh Jiyegaa_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,48,Dil Jhoom (From _Crakk - Jeetegaa Toh Jiyegaa_),48. Dil Jhoom (From _Crakk - Jeetegaa Toh Jiyegaa_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\49. Pehli Dafa.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\49. Pehli Dafa.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,49,Pehli Dafa,49. Pehli Dafa.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\50. O Re Piya.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\50. O Re Piya.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,50,O Re Piya,50. O Re Piya.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\51. Rabba.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\51. Rabba.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,51,Rabba,51. Rabba.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\52. Aaoge Jab Tum.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\52. Aaoge Jab Tum.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,52,Aaoge Jab Tum,52. Aaoge Jab Tum.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\53. Chidiya.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\53. Chidiya.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,53,Chidiya,53. Chidiya.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\54. Main Rahoon Ya Na Rahoon.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\54. Main Rahoon Ya Na Rahoon.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,54,Main Rahoon Ya Na Rahoon,54. Main Rahoon Ya Na Rahoon.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\55. Tum Jo Aaye.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\55. Tum Jo Aaye.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,55,Tum Jo Aaye,55. Tum Jo Aaye.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\56. Hawayein.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\56. Hawayein.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,56,Hawayein,56. Hawayein.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\57. Khairiyat.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\57. Khairiyat.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,57,Khairiyat,57. Khairiyat.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\58. Pani da Rang (Male).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\58. Pani da Rang (Male).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,58,Pani da Rang (Male),58. Pani da Rang (Male).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\59. Pehla Pyaar.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\59. Pehla Pyaar.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,59,Pehla Pyaar,59. Pehla Pyaar.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\60. Jab Tak (From _M.S.Dhoni - The Untold Story_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\60. Jab Tak (From _M.S.Dhoni - The Untold Story_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,60,Jab Tak (From _M.S.Dhoni - The Untold Story_),60. Jab Tak (From _M.S.Dhoni - The Untold Story_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\61. Bawara Mann (From _Jolly Ll.B 2_).mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\61. Bawara Mann (From _Jolly Ll.B 2_).mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,61,Bawara Mann (From _Jolly Ll.B 2_),61. Bawara Mann (From _Jolly Ll.B 2_).mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\62. Luka Chuppi.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\62. Luka Chuppi.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,62,Luka Chuppi,62. Luka Chuppi.mp3
C:\Users\prith\OneDrive\Desktop\music_pattern_based_recommendation_system\data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\63. Bhar Do Jholi Meri.mp3,data\raw_playlist_songs_downloaded\hindi\chill_lyrics\Peaceful & Soft Hindi Songs\63. Bhar Do Jholi Meri.mp3,hindi,chill_lyrics,Peaceful & Soft Hindi Songs,63,Bhar Do Jholi Meri,63. Bhar Do Jholi Meri.mp3
